Date,Open,High,Low,Close_,AdjClose__,Volume
"Dec 31, 1986","1,673.10","1,679.20","1,671.60","1,679.00","1,679.00",
"Dec 30, 1986","1,671.60","1,674.60","1,668.00","1,673.10","1,673.10",
"Dec 29, 1986","1,670.50","1,673.10","1,670.50","1,671.60","1,671.60",
"Dec 26, 1986","1,665.10","1,665.10","1,665.10","1,665.10","1,665.10",
"Dec 25, 1986",,,,,,
"Dec 24, 1986","1,661.00","1,665.40","1,661.00","1,665.10","1,665.10",
"Dec 23, 1986","1,652.20","1,661.10","1,651.20","1,660.90","1,660.90",
"Dec 22, 1986","1,640.00","1,652.20","1,640.00","1,652.20","1,652.20",
"Dec 19, 1986","1,630.60","1,632.20","1,624.30","1,632.20","1,632.20",
"Dec 18, 1986","1,635.60","1,635.60","1,623.60","1,630.60","1,630.60",
"Dec 17, 1986","1,637.90","1,639.50","1,634.30","1,636.30","1,636.30",
"Dec 16, 1986","1,637.00","1,638.50","1,635.00","1,637.90","1,637.90",
"Dec 15, 1986","1,634.10","1,641.30","1,634.10","1,637.00","1,637.00",
"Dec 12, 1986","1,634.00","1,637.80","1,628.40","1,629.80","1,629.80",
"Dec 11, 1986","1,634.60","1,641.00","1,633.00","1,634.00","1,634.00",
"Dec 10, 1986","1,634.60","1,634.60","1,630.40","1,634.60","1,634.60",
"Dec 09, 1986","1,629.10","1,636.50","1,629.10","1,635.90","1,635.90",
"Dec 08, 1986","1,613.70","1,626.70","1,613.70","1,623.40","1,623.40",
"Dec 05, 1986","1,610.10","1,613.80","1,608.50","1,613.50","1,613.50",
"Dec 04, 1986","1,614.20","1,614.20","1,607.80","1,610.10","1,610.10",
"Dec 03, 1986","1,625.50","1,627.20","1,608.90","1,615.10","1,615.10",
"Dec 02, 1986","1,620.70","1,634.00","1,620.70","1,625.50","1,625.50",
"Dec 01, 1986","1,636.70","1,637.90","1,615.40","1,617.80","1,617.80",
"Nov 28, 1986","1,632.50","1,636.70","1,632.20","1,636.70","1,636.70",
"Nov 27, 1986","1,633.00","1,637.80","1,629.70","1,632.50","1,632.50",
"Nov 26, 1986","1,619.30","1,633.50","1,618.80","1,633.00","1,633.00",
"Nov 25, 1986","1,629.70","1,629.70","1,619.00","1,619.30","1,619.30",
"Nov 24, 1986","1,627.50","1,636.60","1,627.50","1,636.50","1,636.50",
"Nov 21, 1986","1,610.70","1,627.30","1,609.40","1,624.90","1,624.90",
"Nov 20, 1986","1,604.50","1,615.80","1,604.50","1,610.70","1,610.70",
"Nov 19, 1986","1,610.40","1,610.40","1,596.20","1,604.30","1,604.30",
"Nov 18, 1986","1,628.60","1,629.30","1,617.40","1,617.50","1,617.50",
"Nov 17, 1986","1,632.90","1,632.90","1,615.90","1,628.60","1,628.60",
"Nov 14, 1986","1,644.30","1,644.30","1,637.60","1,644.30","1,644.30",
"Nov 13, 1986","1,647.50","1,647.50","1,634.70","1,644.60","1,644.60",
"Nov 12, 1986","1,660.90","1,667.20","1,654.20","1,654.50","1,654.50",
"Nov 11, 1986","1,656.20","1,660.90","1,652.70","1,660.90","1,660.90",
"Nov 10, 1986","1,662.60","1,664.40","1,649.00","1,656.20","1,656.20",
"Nov 07, 1986","1,655.20","1,663.20","1,655.20","1,662.60","1,662.60",
"Nov 06, 1986","1,646.60","1,656.30","1,646.60","1,648.50","1,648.50",
"Nov 05, 1986","1,637.70","1,644.50","1,628.90","1,644.40","1,644.40",
"Nov 04, 1986","1,639.20","1,643.40","1,631.70","1,637.70","1,637.70",
"Nov 03, 1986","1,634.40","1,644.00","1,634.40","1,639.20","1,639.20",
"Oct 31, 1986","1,623.00","1,632.20","1,623.00","1,632.10","1,632.10",
"Oct 30, 1986","1,597.00","1,617.20","1,596.90","1,615.80","1,615.80",
"Oct 29, 1986","1,589.10","1,598.60","1,589.10","1,597.00","1,597.00",
"Oct 28, 1986","1,586.20","1,588.20","1,578.70","1,583.60","1,583.60",
"Oct 27, 1986","1,583.30","1,591.70","1,583.30","1,586.20","1,586.20",
"Oct 24, 1986","1,574.60","1,579.60","1,574.60","1,577.10","1,577.10",
"Oct 23, 1986","1,586.70","1,586.70","1,572.50","1,572.50","1,572.50",
"Oct 22, 1986","1,591.20","1,599.20","1,589.60","1,589.60","1,589.60",
"Oct 21, 1986","1,590.20","1,593.30","1,585.30","1,591.20","1,591.20",
"Oct 20, 1986","1,610.00","1,615.20","1,589.70","1,590.20","1,590.20",
"Oct 17, 1986","1,605.00","1,611.60","1,601.90","1,610.00","1,610.00",
"Oct 16, 1986","1,607.50","1,615.10","1,602.90","1,605.00","1,605.00",
"Oct 15, 1986","1,592.50","1,607.50","1,588.60","1,607.50","1,607.50",
"Oct 14, 1986","1,612.30","1,614.80","1,592.00","1,592.50","1,592.50",
"Oct 13, 1986","1,599.40","1,612.30","1,597.40","1,612.30","1,612.30",
"Oct 10, 1986","1,605.30","1,605.30","1,595.50","1,599.40","1,599.40",
"Oct 09, 1986","1,591.00","1,612.20","1,591.00","1,608.60","1,608.60",
"Oct 08, 1986","1,589.60","1,589.60","1,581.60","1,587.80","1,587.80",
"Oct 07, 1986","1,579.10","1,596.90","1,579.10","1,592.30","1,592.30",
"Oct 06, 1986","1,563.20","1,578.90","1,563.20","1,578.90","1,578.90",
"Oct 03, 1986","1,566.90","1,566.90","1,559.00","1,560.80","1,560.80",
"Oct 02, 1986","1,578.30","1,579.20","1,568.50","1,573.10","1,573.10",
"Oct 01, 1986","1,560.90","1,578.30","1,560.90","1,578.30","1,578.30",
"Sep 30, 1986","1,541.80","1,561.90","1,541.80","1,555.80","1,555.80",
"Sep 29, 1986","1,562.80","1,562.80","1,539.20","1,539.20","1,539.20",
"Sep 26, 1986","1,568.60","1,568.60","1,552.70","1,568.60","1,568.60",
"Sep 25, 1986","1,601.70","1,601.70","1,575.90","1,575.90","1,575.90",
"Sep 24, 1986","1,608.50","1,608.50","1,603.40","1,603.40","1,603.40",
"Sep 23, 1986","1,617.10","1,626.20","1,610.00","1,610.00","1,610.00",
"Sep 22, 1986","1,602.20","1,617.10","1,602.20","1,617.10","1,617.10",
"Sep 19, 1986","1,602.30","1,602.30","1,595.70","1,600.40","1,600.40",
"Sep 18, 1986","1,611.80","1,624.90","1,611.80","1,614.20","1,614.20",
"Sep 17, 1986","1,597.90","1,612.10","1,597.90","1,610.40","1,610.40",
"Sep 16, 1986","1,625.50","1,625.50","1,591.40","1,596.70","1,596.70",
"Sep 15, 1986","1,611.60","1,630.40","1,611.60","1,628.30","1,628.30",
"Sep 12, 1986","1,624.30","1,624.30","1,592.50","1,608.60","1,608.60",
"Sep 11, 1986","1,662.40","1,662.40","1,636.50","1,636.50","1,636.50",
"Sep 10, 1986","1,673.40","1,680.20","1,662.80","1,663.50","1,663.50",
"Sep 09, 1986","1,666.60","1,676.20","1,660.80","1,673.40","1,673.40",
"Sep 08, 1986","1,680.90","1,680.90","1,666.30","1,666.60","1,666.60",
"Sep 05, 1986","1,683.40","1,694.30","1,683.40","1,684.80","1,684.80",
"Sep 04, 1986","1,675.60","1,682.20","1,675.60","1,680.30","1,680.30",
"Sep 03, 1986","1,667.80","1,671.30","1,661.10","1,670.70","1,670.70",
"Sep 02, 1986","1,672.80","1,677.90","1,663.60","1,667.80","1,667.80",
"Sep 01, 1986","1,661.20","1,675.10","1,654.60","1,672.80","1,672.80",
"Aug 29, 1986","1,637.30","1,662.00","1,637.30","1,661.20","1,661.20",
"Aug 28, 1986","1,631.80","1,637.60","1,631.80","1,636.80","1,636.80",
"Aug 27, 1986","1,621.90","1,629.80","1,621.90","1,629.80","1,629.80",
"Aug 26, 1986","1,607.10","1,616.20","1,606.40","1,616.20","1,616.20",
"Aug 25, 1986","1,607.10","1,607.10","1,607.10","1,607.10","1,607.10",
"Aug 22, 1986","1,606.80","1,607.10","1,598.40","1,607.10","1,607.10",
"Aug 21, 1986","1,606.80","1,619.00","1,606.80","1,606.80","1,606.80",
"Aug 20, 1986","1,604.40","1,604.60","1,595.00","1,604.60","1,604.60",
"Aug 19, 1986","1,609.00","1,610.20","1,603.20","1,604.40","1,604.40",
"Aug 18, 1986","1,604.60","1,609.90","1,604.60","1,609.00","1,609.00",
"Aug 15, 1986","1,588.40","1,602.40","1,588.40","1,601.90","1,601.90",
"Aug 14, 1986","1,581.00","1,588.30","1,574.10","1,588.20","1,588.20",
"Aug 13, 1986","1,566.70","1,581.00","1,566.70","1,581.00","1,581.00",
"Aug 12, 1986","1,554.20","1,559.40","1,554.20","1,558.20","1,558.20",
"Aug 11, 1986","1,526.70","1,542.80","1,519.80","1,542.80","1,542.80",
"Aug 08, 1986","1,529.90","1,534.50","1,519.70","1,526.70","1,526.70",
"Aug 07, 1986","1,537.40","1,537.40","1,519.20","1,529.90","1,529.90",
"Aug 06, 1986","1,557.40","1,557.40","1,539.20","1,540.40","1,540.40",
"Aug 05, 1986","1,555.60","1,564.50","1,555.60","1,561.60","1,561.60",
"Aug 04, 1986","1,561.80","1,563.90","1,545.40","1,545.40","1,545.40",
